Deviceset	Package	Technology	Device name	Order code type	Order code	Manuf. code	Description
DF9	DF9-41PIN	''	DF9-HEADER	Farnell	not assigned		
DF9	DF9-41PIN	''	DF9-RECEPTACLE	Farnell	not assigned		
DF40	40DF_HEADER	''	DF40-HEADER	Farnell	not assigned		
DF40	40DF_RECEPTOR	''	DF40-RECEPTOR	Farnell	not assigned		
DIN-BOAD	DIN-BOARD	''	DIN-BOAD	Farnell	not assigned		
DIODE	SMADIODE	''	DIODESMA	Farnell	not assigned		
DIODE	SOD-123	''	DIODESOD-123	Farnell	not assigned		
DIODE	SOD-323	''	DIODESOD-323	Farnell	not assigned		
DIODE	SOT23-R	''	DIODESOT23_REFLOW	Farnell	not assigned		
DIODE	SOT23-W	''	DIODESOT23_WAVE	Farnell	not assigned		
DM9000	100LQFP	''	DM9000	Farnell	not assigned		
DPDT	DPDT	''	DPDT	Farnell	not assigned		
DPST	PUSHBUTTON_SWITCH-P227EE1CXC	''	DPST	Farnell	not assigned		
DUAL_SHAFT_PLASTIC_GEAR_MOTOR_ST1_LEFT	DUAL_SHAFT_PLASTIC_GEAR_MOTOR_ST1_LEFT	''	DUAL_SHAFT_PLASTIC_GEAR_MOTOR_ST1_LEFT	Farnell	not assigned		
DUAL_SHAFT_PLASTIC_GEAR_MOTOR_ST1_RIGHT	DUAL_SHAFT_PLASTIC_GEAR_MOTOR_ST1_RIGHT	''	DUAL_SHAFT_PLASTIC_GEAR_MOTOR_ST1_RIGHT	Farnell	not assigned		
DUOLED-1X2	DUOLED-C-0603	''	DUOLED-1X2	Farnell	not assigned		
DUOLED-1X2	DUOLED-RTANGLE-DIP	''	DUOLED-1X2'	Farnell	not assigned		
DUOLED-GY-C	DUOLED-C-5MM	''	DUOLED-GY-C	Farnell	not assigned		
DUOLED-GY-C	DUOLED-C-3MM	''	DUOLED-GY-C'	Farnell	not assigned		
DUOLED-RG-C	DUOLED-C-3MM	''	DUOLED-RG-C	Farnell	not assigned		
DUOLED-RY-C	DUOLED-C-3MM	''	DUOLED-RY-C	Farnell	not assigned		
EFM32ZG110	QFN24	''	EFM32ZG110	Farnell	not assigned		
EMI_SHIELD	SHIELD_50X50	''	EMI_SHIELD	Farnell	not assigned		
FERRITE-BEAD	R0603	''	FERRITE-BEAD	Farnell	not assigned		
FT230X	16PIN_SSOP	''	FT230X	Farnell	not assigned		
FT232HL	48LQFP	''	FT232HL	Farnell	not assigned		
FUSE	1A/250V_FUSE	''	FUSE	Farnell	not assigned		
FXLS8471Q	16QFN	''	FXLS8471Q	Farnell	not assigned		
GL827L	28SSOP	''	GL827L	Farnell	not assigned		
GL850G	28SSOP	''	GL850G	Farnell	not assigned		
GP1S092HCPIF	GP1S092HCPIF	''	GP1S092HCPIF	Farnell	not assigned		
HC-05	HC-05	''	HC-05	Farnell	not assigned		
HD44780LCD	LCD1602	''	HD44780LCD-1602	Farnell	not assigned		
HLK-RM04	HLK-RM04	''	HLK-RM04	Farnell	not assigned		
IGBT	TO-252AA	''	IGBT-HGTD1N120	Farnell	not assigned		
IMX-23	128TQFP	''	IMX-23	Farnell	not assigned		
INDUCTOR	INDUCTOR-10X9.8X6	''	INDUCTOR	Farnell	not assigned		
INDUCTOR	INDUCTOR-4X4	''	INDUCTOR-4X4	Farnell	not assigned		
IR-RECIEVER	TSOP6238	''	IR-RECIEVER	Farnell	not assigned		
ISOLATION_DIODE	6-WDFN-EXPOSED-PAD	''	ISOLATION_DIODE	Farnell	not assigned		
ISOLATION_DIODE	8-TSST	''	ISOLATION_DIODE-TT8U1CT	Farnell	not assigned		
ITDB02-2.8	ITDB02-2.8	''	ITDB02-2.8	Farnell	not assigned		
JST-2MM	JST-2MM-NOM	''	JST-2MM	Farnell	not assigned		
JST-2MM	JST-2MM-PS3	''	JST-2MM-PS3	Farnell	not assigned		
JST_4PIN	JST_4PIN-SMT-RA	''	JST_4PIN	Farnell	not assigned		
JUMPER	SJW	''	JUMPER	Farnell	not assigned		
KEYPAD	KEYPAD	''	KEYPAD	Farnell	not assigned		
L293-D	SOIC-20	''	L293-D	Farnell	not assigned		
LCD	LCD-8X2	''	LCD	Farnell	not assigned		
LED	LS_A67K	''	LED	Farnell	not assigned		
LED	LS_Y876	''	LED-	Farnell	not assigned		
LI-ION-PS3-OUTLINE	LI-ION-PS3	''	LI-ION-PS3-OUTLINE	Farnell	not assigned		
LIGHTPIPE_WITH_LED	BOARDMOUNT_PIPE_&_0603LED-C-RIGHT	''	LIGHTPIPE_WITH_LED	Farnell	not assigned		
LIGHTPIPE_WITH_LED	BOARDMOUNT-PIPE-0603LED-C-LEFT	''	LIGHTPIPE_WITH_LED''''	Farnell	not assigned		
LIGHT_PIPE	LIGHT-PIPE	''	LIGHT_PIPE	Farnell	not assigned		
LM25XX	TO-263-6(5LEADS+1TAB)	''	LM25XX-2576	Farnell	not assigned		
LM25XX	TO-263-6(5LEADS+1TAB)	''	LM25XX-2596	Farnell	not assigned		
LM2623	MSOP-8L-EDP	''	LM2623	Farnell	not assigned		
LM4755	TO-263-10(9LEADS+1TAB)	''	LM4755	Farnell	not assigned		
LMP91000	WSON-14	''	LMP91000	Farnell	not assigned		
LOCUX	LOCUXBOARD	''	LOCUX-VIET	Farnell	not assigned		
LTC4263	SOIC-14	''	LTC4263	Farnell	not assigned		
M-2X10	MOLEX-2X10	''	M-2X10	Farnell	not assigned		
MAGJACK	MAGJACK	''	MAGJACK	Farnell	not assigned		
MAGJACK_2	MAGJACK	''	MAGJACK_2	Farnell	not assigned		
MAGJACK_ARIA	MAGJACK_ARIA	''	MAGJACK_ARIA	Farnell	not assigned		
MAX1873	QSOP	''	MAX1873	Farnell	not assigned		
MAX8814	8TDFN	''	MAX8814	Farnell	not assigned		
MCP-7940	SOIC-8	''	MCP-7940-N	Farnell	not assigned		
MCP1640X-X-I_CH	SOT-23-6_MC	''	MCP1640X-X-I_CH	Farnell	not assigned		
MCP1700	SOT23-W	''	MCP1700	Farnell	not assigned		
MCP1824	SOT23-5/SOT25	''	MCP1824	Farnell	not assigned		
MCP1825T	SOT223-5	''	MCP1825T	Farnell	not assigned		
MCP73831	5PIN_SOT23	''	MCP73831	Farnell	not assigned		
MIC2026	SOP-8	''	MIC2026	Farnell	not assigned		
MIC2288	SOT23-5/SOT25	''	MIC2288	Farnell	not assigned		
MIC5225	SOT23-5/SOT25	''	MIC5225	Farnell	not assigned		
